ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
01187,"Carpet","","","0.96","29.27","0.28","1.57","6.18%","5.96%","5.52%","0.00%","0.30"
01188,"White Table","","","0.88","86.31","0.35","11.22","73.45%","68.36%","52.83%","2.84%","0.20"
01189,"White Stool","","","0.81","83.65","2.47","16.12","72.57%","62.72%","42.89%","2.31%","0.20"
01190,"Bookshelf","","","0.70","75.38","7.20","26.94","65.72%","46.52%","23.44%","1.50%","0.20"
01191,"Fabric Chair","","","1.03","26.91","0.12","-1.09","5.11%","5.01%","5.31%","0.00%","0.20"
01192,"Wood Table 2","","","0.71","63.12","5.66","22.75","42.50%","30.70%","16.07%","0.11%","0.20"
01193,"Wood Bench 3","","","0.65","55.36","7.72","24.63","33.73%","21.96%","9.94%","0.12%","0.20"
01194,"Black Wall","","","1.02","25.45","-0.09","-0.77","2.97%","3.08%","3.23%","1.53%","0.20"
01195,"White Door","","","0.98","92.90","-1.31","3.17","82.41%","83.27%","77.35%","1.47%","0.20"
01196,"Laminated Wooden Table","","","0.63","53.21","8.22","25.42","28.62%","16.59%","4.58%","4.10%","0.20"
01197,"White Chair","","","0.97","94.61","-1.07","4.53","87.94%","87.22%","79.28%","0.76%","0.20"
01198,"Concrete Floor","","","0.91","60.36","0.50","6.63","30.20%","28.17%","23.23%","0.65%","0.20"
01199,"Concrete Support","","","0.87","71.09","1.15","10.58","47.01%","42.30%","32.44%","0.16%","0.20"
01200,"Grey Wall","","","0.97","46.58","-0.04","1.57","15.52%","15.41%","14.45%","0.45%","0.20"
01201,"Wooden Door","","","0.70","73.16","7.79","25.96","61.64%","42.57%","21.56%","1.85%","0.20"
01202,"Metal Stairs","","","0.97","42.97","-0.12","1.63","12.95%","12.87%","12.05%","0.40%","0.20"
01203,"Padded Chair","","","1.00","36.81","-0.39","0.71","9.14%","9.20%","8.88%","0.30%","0.20"
01204,"Wooden Door 2","","","1.01","27.00","0.58","-0.69","4.03%","3.88%","4.06%","1.21%","0.20"
01205,"White Cabinet Top","","","0.99","93.75","-1.05","2.54","84.42%","84.88%","80.26%","2.29%","0.10"
01206,"Floor 1","","","0.99","66.43","-0.45","1.14","35.02%","35.06%","33.75%","1.45%","0.30"
01207,"White Wall 1","","","0.93","93.40","-0.37","6.92","86.88%","84.54%","72.99%","0.93%","0.20"
01208,"White Board Partition Wall 1","","","0.98","90.39","-0.41","2.75","76.88%","76.35%","71.44%","5.04%","0.01"
01209,"Exterior Hallway Floor","","","0.91","55.68","0.67","5.65","25.25%","23.49%","19.77%","0.17%","0.30"
01210,"White Wall 2","","","1.00","92.39","-0.53","0.99","81.64%","81.51%","79.55%","0.94%","0.20"
01211,"Green Outdoor Wall","","","0.66","77.07","-14.17","42.73","48.08%","59.07%","14.65%","0.43%","0.30"
01212,"Table Top","","","0.55","53.29","15.04","29.02","36.05%","18.14%","6.56%","0.74%","0.20"
01213,"White Concrete Column","","","0.93","93.34","-0.35","7.02","86.89%","84.62%","73.08%","0.00%","0.00"
01214,"Partition Wall 2","","","0.99","94.96","-1.08","2.14","87.11%","87.95%","84.00%","1.06%","0.20"
01215,"Partition Wall 1","","","0.97","89.32","-0.33","3.07","74.64%","74.12%","69.29%","4.42%","0.20"
01216,"Cabinet Top","","","0.99","94.18","-1.07","2.64","85.53%","86.14%","81.41%","1.05%","0.30"
01217,"Cabinet Door","","","0.99","94.10","-1.09","2.47","85.25%","85.97%","81.51%","0.90%","0.30"
01218,"Black Ceiling","","","0.93","39.02","-0.14","3.52","11.16%","10.85%","9.38%","0.00%","0.00"
01219,"White Ceiling","","","0.97","93.34","-0.27","3.52","85.44%","84.06%","78.30%","0.00%","0.00"
01220,"Dropped Acoustic Ceiling Tile","","","0.94","92.33","-0.08","6.32","84.50%","81.65%","71.70%","1.37%","0.30"
01221,"Green Wall","","","0.53","66.53","-13.25","48.87","33.43%","42.98%","5.35%","0.00%","0.00"
01222,"Exterior White Wall","","","0.93","92.45","-0.39","7.19","84.99%","82.63%","71.07%","0.00%","0.00"
01223,"Grey Concrete Floor","","","0.89","61.47","0.80","7.70","32.65%","30.05%","24.23%","0.00%","0.00"
01224,"White Curved Wall","","","0.99","92.05","-0.40","1.72","81.53%","81.00%","78.12%","0.00%","0.00"
01225,"Purple Wall","","","1.01","58.64","4.36","-2.54","29.40%","25.56%","28.60%","0.00%","0.00"
01226,"Floor Tile","","","1.00","67.49","-0.68","0.46","36.43%","37.04%","36.35%","0.67%","0.20"
01227,"White Board 1","","","0.96","94.02","-1.00","4.71","85.55%","85.01%","75.93%","7.29%","0.01"
01228,"White Wall 3","","","0.94","94.50","-0.09","6.69","90.04%","86.83%","75.65%","1.21%","0.30"
01229,"Dark Grey Metal Frame","","","0.95","54.76","0.29","2.78","20.75%","19.99%","17.91%","3.47%","0.10"
01230,"Specular White Wall","","","0.99","94.67","-1.06","2.27","86.41%","86.95%","82.53%","3.05%","0.05"
01231,"White Table","","","0.97","94.06","-0.99","4.11","86.17%","85.96%","78.69%","1.16%","0.20"
01232,"Carpet 1","","","1.02","39.77","-0.69","-0.47","10.89%","11.25%","11.37%","0.00%","0.00"
01233,"Window Mullion 3","","","0.96","52.38","0.25","1.92","19.97%","19.63%","18.33%","1.17%","0.20"
01234,"Partition","","","0.95","79.87","-0.47","7.30","59.84%","56.28%","47.96%","0.20%","0.30"
01235,"Partition Wall 3","","","0.99","94.85","-1.08","2.20","86.88%","87.63%","83.50%","1.46%","0.30"
01236,"White Desk","","","0.99","94.90","-1.16","1.93","86.55%","87.71%","84.00%","2.24%","0.10"
01237,"Table Leg","","","1.01","65.81","-2.04","1.54","33.43%","34.87%","32.98%","1.02%","0.10"
01238,"Red Interior Wall","","","0.71","45.98","27.43","7.01","32.86%","9.95%","12.20%","0.00%","0.00"
01239,"Outdoor Floor Surface","","","0.87","60.63","0.91","9.42","32.02%","28.99%","22.12%","0.00%","0.00"
01240,"Wooden Table Top","","","0.69","77.04","4.99","31.54","68.24%","50.60%","22.27%","0.55%","0.20"
01241,"Floor 2","","","1.00","67.97","-0.71","0.50","37.02%","37.68%","36.95%","0.73%","0.30"
01242,"White Wall 4","","","0.93","93.53","-0.41","6.95","87.35%","85.24%","73.69%","0.00%","0.00"
01243,"Grey Cubicle Fabric Partition","","","1.05","67.03","-2.62","1.72","36.06%","36.92%","35.36%","0.00%","0.00"
01244,"White Board Partition Wall 2","","","0.96","94.43","-1.18","5.06","86.55%","86.38%","76.61%","6.15%","0.01"
01245,"White Painted Metal Frame","","","0.95","91.87","-0.49","5.15","81.77%","80.48%","71.70%","3.19%","0.05"
01246,"Dark Wood Table Top","","","0.56","52.56","15.23","28.13","35.72%","17.49%","6.92%","0.46%","0.30"
01247,"Gray Table","","","1.02","73.14","-0.91","0.30","43.46%","44.06%","43.62%","2.51%","0.10"
01248,"White Long Table","","","0.97","93.27","-0.62","4.18","84.44%","83.66%","76.41%","3.00%","0.10"
01249,"White Square Table","","","0.97","94.22","-1.03","4.04","86.40%","86.36%","79.20%","1.20%","0.20"
01250,"White Table Top","","","0.99","94.72","-1.14","1.92","86.22%","87.36%","83.77%","1.34%","0.20"
01251,"Tile Floor","","","1.00","67.49","-0.68","0.46","36.43%","37.04%","36.35%","0.67%","0.30"
01252,"Cupboard","","","0.99","94.77","-1.16","1.79","86.29%","87.49%","84.05%","1.36%","0.20"
01253,"Dark Grey Sofa","","","1.06","24.32","0.50","-1.97","4.25%","4.13%","4.66%","0.00%","0.00"
01254,"Carpet 2","","","0.73","45.05","3.85","15.41","18.87%","14.29%","8.10%","0.00%","0.00"
01255,"Yellow Workstation Desk","","","0.79","78.76","4.16","20.38","67.08%","52.79%","32.58%","1.63%","0.20"
01256,"Black Monitor Plastic","","","1.02","27.66","0.05","-0.89","4.93%","4.97%","5.18%","0.36%","0.30"
01257,"Gray Wall (Bottom)","","","1.00","39.14","0.73","-0.22","9.24%","8.85%","8.94%","1.97%","0.20"
01258,"White Wall 5","","","0.99","95.26","-1.12","2.40","88.19%","88.72%","83.89%","0.69%","0.30"
01259,"Door","","","0.98","65.31","-0.14","1.47","33.70%","33.48%","32.00%","1.60%","0.20"
01260,"Window Mullion 1","","","0.98","67.04","-0.47","2.17","36.04%","35.91%","33.75%","1.51%","0.10"
01261,"Orange Wooden Table","","","0.78","57.18","4.92","14.49","31.46%","23.75%","15.41%","0.82%","0.30"
01262,"Floor 3","","","1.00","26.43","0.13","0.16","4.41%","4.36%","4.31%","0.55%","0.30"
01263,"Black Chair","","","1.34","33.65","-3.46","-10.14","4.93%","7.39%","10.97%","0.60%","0.30"
01264,"Blue Table","","","0.91","90.84","-0.09","8.88","82.34%","78.75%","65.10%","0.69%","0.30"
01265,"Light Yellow Wall","","","0.91","90.89","0.07","8.90","82.84%","78.84%","65.28%","0.30%","0.30"
01266,"Window Mullion 2","","","1.02","23.69","-0.02","-0.81","2.85%","2.93%","3.08%","1.11%","0.20"
01267,"Light Door","","","1.02","69.26","-0.05","-0.26","39.17%","38.76%","39.05%","1.22%","0.20"
01268,"Dark Door","","","0.99","35.33","0.72","0.64","8.67%","8.22%","8.07%","0.39%","0.20"
01269,"White Board 2","","","0.98","90.69","-0.89","3.27","77.45%","77.12%","72.47%","4.79%","0.01"
01270,"Projector Screen","","","0.98","93.47","-0.94","2.76","84.00%","84.65%","79.21%","0.76%","0.20"
01271,"White Ceiling","","","0.98","95.07","-0.54","3.31","89.07%","88.14%","82.25%","0.29%","0.30"
01272,"Floor 4","","","0.89","71.94","0.99","9.80","47.73%","43.02%","33.66%","0.92%","0.20"
01273,"White Column Exterior","","","0.98","94.40","-0.69","2.99","87.12%","86.54%","81.04%","0.65%","0.30"
01274,"Gray Outdoor Wall","","","0.95","42.99","0.61","2.19","13.57%","12.92%","11.89%","0.24%","0.30"
01275,"Red Exterior Wall","","","0.60","46.88","31.68","12.28","37.50%","9.65%","10.47%","0.02%","0.30"
01276,"Black Computer Case CH","","","1.03","27.61","0.04","-1.33","4.56%","4.72%","5.03%","0.64%","0.30"
01277,"Black Computer Case NL","","","1.02","26.43","0.07","-0.68","3.50%","3.57%","3.69%","1.38%","0.20"
01278,"Black Table Leg CH","","","1.00","37.97","1.55","-0.88","7.22%","6.56%","7.02%","3.58%","0.10"
01279,"Black Table Leg NL","","","1.01","26.34","0.24","-0.63","1.58%","1.63%","1.66%","3.29%","0.10"
01280,"Grey Carpet NL","","","1.02","41.79","-1.74","-0.28","11.57%","12.68%","12.59%","0.00%","0.00"
01281,"Grey Computer Case NL","","","1.01","85.07","-0.45","-0.35","63.04%","63.98%","63.93%","6.50%","0.30"
01282,"Grey Laminated Floor CH","","","0.96","61.83","-0.66","4.11","30.45%","29.59%","26.36%","0.96%","0.30"
01283,"Grey Metallic Door Frame CH","","","1.00","89.13","-0.50","0.29","63.96%","65.22%","65.43%","27.10%","0.05"
01284,"Grey Table Top CH","","","0.97","79.57","-0.62","3.39","56.17%","55.15%","51.01%","1.92%","0.20"
01285,"Grey Table Top NL","","","0.96","77.86","-1.74","4.44","52.37%","52.52%","47.02%","1.83%","0.20"
01286,"White Ceiling Panel NL","","","0.98","92.94","-0.35","2.44","83.94%","82.84%","79.31%","0.09%","0.30"
01287,"White Indoor Window Frame CH","","","0.95","93.63","-1.30","5.68","85.92%","84.25%","75.04%","2.85%","0.10"
01288,"White Indoor Window Frame NL","","","1.00","93.56","-0.78","1.39","83.41%","83.92%","81.15%","3.83%","0.10"
01289,"White Metal Door CH","","","0.96","94.37","-1.23","5.13","87.40%","85.97%","77.39%","3.34%","0.10"
01290,"White Opaque Curtain CH","","","1.02","90.62","-0.50","-0.77","76.31%","77.90%","78.65%","0.11%","0.30"
01291,"White Plaster Ceiling CH","","","0.97","94.72","-0.75","3.31","88.12%","87.08%","81.65%","0.28%","0.30"
01292,"White Plaster Wall CH","","","0.97","94.57","-0.75","3.39","87.83%","86.73%","81.21%","0.22%","0.30"
01293,"White Plaster Wall NL","","","0.95","91.46","-1.37","6.14","81.49%","79.76%","70.76%","0.10%","0.30"
01294,"White Plastic Partition Wall NL","","","0.99","94.19","-0.28","1.38","86.19%","85.75%","83.89%","0.09%","0.30"
